iter,h,r,c,a
318,1,81,3,3
319,1,83,3,3
320,1,83,3,3
321,1,86,3,3
322,1,87,3,3
323,1,89,3,3
324,1,90,3,3
325,1,90,3,3
326,1,91,3,3
327,1,91,3,3
328,1,93,3,3
329,1,99,3,3
330,1,100,3,3
331,1,100,3,3
332,1,101,3,3
333,1,104,3,3
334,1,106,3,3
335,1,109,3,3
336,1,112,3,3
337,1,114,3,3
338,1,117,3,3
339,1,119,3,3
340,1,121,3,3
341,1,122,3,3
342,1,128,3,3
343,1,129,3,3
344,1,130,2,3
345,1,132,2,3
346,1,136,2,3
347,1,138,2,3
348,1,143,2,3
349,1,146,2,3
350,1,147,2,3
351,1,149,2,3
352,1,153,2,3
353,1,159,2,3
354,1,168,2,2
355,1,171,2,2
356,1,177,2,2
357,1,183,2,2
358,1,189,2,2
359,1,202,2,2
360,1,211,2,2
361,1,214,2,2
362,1,222,2,2
363,1,228,2,2
364,1,236,2,2
365,1,250,2,2
366,1,260,2,2
367,1,265,2,2
368,1,276,2,2
369,1,294,2,2
370,1,305,2,2
371,1,317,2,2
372,1,338,2,2
373,1,354,2,2
374,1,374,2,2
375,1,391,2,2
376,1,414,2,2
377,1,444,2,2
378,1,468,2,2
379,1,491,2,2
380,1,522,2,2
381,1,557,2,2
382,1,600,2,2
383,1,636,2,2
384,1,667,2,2
385,1,712,2,2
386,1,762,2,2
387,1,810,2,2
388,1,845,2,2
389,1,887,2,2
390,1,946,2,1
391,1,998,2,1
392,1,1041,2,1
393,1,1099,2,1
394,1,1165,2,1
395,1,1234,2,1
396,1,1291,2,1
397,1,1368,2,1
398,1,1470,2,1
399,1,1542,2,1
400,1,1633,2,1
401,1,1702,1,1
402,1,1813,1,1
403,1,1890,1,1
404,1,1983,1,1
405,1,2072,1,1
406,1,2177,1,1
407,1,2271,1,1
408,1,2376,1,1
409,1,2480,1,1
410,1,2601,1,0
411,1,2709,1,0
412,1,2820,1,0
413,1,2934,1,0
