iter,h,r,c,a
278,80,18,18,111
279,81,18,19,114
280,81,18,19,115
281,82,18,18,117
282,83,18,19,119
283,83,18,19,120
284,84,18,19,121
285,86,18,19,123
286,87,18,19,128
287,87,18,18,130
288,88,18,18,133
289,89,18,18,134
290,88,18,19,136
291,88,18,19,135
292,88,18,19,135
293,87,18,19,134
294,88,18,19,133
295,88,18,19,133
296,87,18,18,134
297,88,18,18,134
298,89,18,18,134
299,89,18,18,134
300,92,18,18,135
301,92,18,18,135
302,92,18,18,137
303,92,18,18,137
304,92,18,18,141
305,93,18,17,143
306,94,18,17,143
307,94,18,17,147
308,94,18,17,149
309,94,18,17,154
310,94,18,17,159
311,94,18,16,163
312,94,19,16,165
313,94,19,16,170
314,94,19,16,171
315,95,20,16,173
316,95,20,16,173
317,100,19,16,176
318,102,19,16,177
319,102,19,16,177
320,104,19,16,177
321,104,19,16,178
322,104,19,16,179
323,104,19,16,179
324,105,19,16,180
325,105,19,17,182
326,105,19,16,183
327,107,20,16,185
328,108,19,16,186
329,109,19,16,190
330,108,19,16,190
331,109,19,16,194
332,111,19,16,198
333,113,19,16,201
334,114,19,16,207
335,113,19,16,211
336,113,19,16,218
337,114,19,17,218
338,116,19,15,220
339,117,19,15,224
340,117,19,15,229
341,118,19,15,230
342,118,19,15,234
343,119,19,15,233
344,120,19,15,233
345,117,19,15,235
346,118,19,15,238
347,116,19,15,240
348,114,19,15,240
349,116,19,15,238
350,116,19,15,240
351,115,19,15,244
352,113,19,15,246
353,112,19,15,247
354,110,19,14,249
355,111,19,14,252
356,112,19,15,257
357,110,19,15,260
358,111,19,15,267
359,110,19,16,267
360,114,19,15,269
361,117,19,15,277
362,119,19,15,280
363,122,19,15,285
364,123,19,15,288
365,122,19,15,291
366,121,19,15,293
367,121,19,15,297
368,121,19,15,298
369,123,19,15,303
370,123,19,16,304
371,123,19,15,307
372,124,19,15,310
373,123,19,15,314
374,124,19,15,318
375,125,19,15,322
376,126,19,15,323
377,125,19,15,331
378,124,19,15,334
379,122,19,15,342
380,120,19,15,344
381,121,19,15,348
382,123,19,15,351
383,124,19,15,357
384,124,19,15,364
385,123,19,15,366
386,123,19,15,371
387,123,19,15,372
388,124,19,15,383
389,124,19,15,385
390,125,20,15,393
391,123,19,15,399
392,121,19,14,404
393,123,19,14,405
394,124,19,13,407
395,125,19,13,407
396,125,19,12,411
397,126,19,12,416
398,125,19,12,423
399,126,19,12,423
400,127,19,12,428
401,127,19,12,432
402,125,19,12,441
403,125,19,12,448
404,124,19,12,457
405,123,19,11,464
406,124,19,11,475
407,125,19,11,481
408,125,19,11,488
409,126,19,11,499
410,129,19,11,507
411,129,19,11,516
412,129,19,11,522
413,129,19,11,532
414,129,19,11,537
415,131,19,12,551
416,131,19,11,558
417,129,19,11,563
418,129,20,11,564
419,130,20,11,570
420,132,20,11,577
421,133,19,11,580
422,135,19,11,583
423,135,19,11,588
424,137,19,11,596
425,137,19,11,606
426,137,19,11,615
427,138,19,11,624
428,141,19,11,632
429,141,19,11,645
430,143,19,11,656
431,141,19,11,662
432,141,19,11,672
433,140,19,11,691
434,139,19,12,703
435,138,19,12,716
436,138,19,12,726
437,141,19,11,744
438,142,19,11,755
439,142,19,11,764
440,139,19,11,778
441,141,18,11,785
442,143,18,10,804
443,147,18,10,809
444,147,18,10,814
445,148,18,10,819
446,149,18,10,825
447,150,18,10,829
448,150,18,10,841
449,154,18,10,854
450,152,18,10,855
451,154,18,10,862
452,152,18,10,871
453,149,18,10,879
454,149,18,10,893
455,150,18,10,905
456,147,18,10,923
457,146,18,10,940
458,146,18,10,956
459,145,18,10,970
460,144,18,10,979
461,142,18,10,993
462,141,18,11,1009
463,139,18,10,1027
464,139,18,10,1044
465,139,18,10,1057
466,140,18,10,1073
467,139,18,10,1085
468,137,18,10,1093
469,138,18,10,1104
470,137,18,10,1114
471,136,18,10,1125
472,135,18,10,1149
473,135,18,10,1166
474,135,18,10,1177
475,136,18,10,1185
476,137,18,10,1195
477,140,18,10,1200
478,140,18,10,1211
479,140,18,10,1226
480,141,18,11,1239
481,148,18,10,1262
482,148,18,10,1273
483,149,19,10,1294
484,146,19,10,1316
485,144,19,10,1331
486,144,19,10,1347
487,142,19,10,1358
488,146,19,10,1376
489,150,18,10,1390
490,152,18,10,1412
491,153,18,11,1428
492,155,18,11,1444
493,155,18,11,1468
494,156,18,11,1490
495,154,18,11,1506
496,154,18,11,1532
497,153,18,11,1544
498,153,18,11,1559
499,153,18,11,1572
500,153,18,11,1590
501,153,18,11,1606
502,153,18,11,1631
503,150,18,11,1636
504,148,18,11,1664
505,148,18,11,1681
506,148,18,11,1702
507,148,18,11,1720
508,148,18,11,1744
509,146,18,11,1762
510,145,18,12,1778
511,146,18,11,1793
512,146,18,11,1807
513,146,18,11,1820
514,146,17,11,1832
515,145,17,11,1864
516,145,17,11,1883
517,147,17,11,1909
518,149,17,11,1936
